date,THEFT,DECEPTIVE PRACTICE,OTHER OFFENSE,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,ASSAULT,BATTERY,NARCOTICS,WEAPONS VIOLATION,OFFENSE INVOLVING CHILDREN,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,BURGLARY,INTERFERENCE WITH PUBLIC OFFICER,CRIM SEXUAL ASSAULT,ARSON,CRIMINAL SEXUAL ASSAULT,PROSTITUTION,PUBLIC PEACE VIOLATION,SEX OFFENSE,STALKING,KIDNAPPING,INTIMIDATION,CONCEALED CARRY LICENSE VIOLATION,GAMBLING,OBSCENITY,HOMICIDE,NON-CRIMINAL,HUMAN TRAFFICKING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),OTHER NARCOTIC VIOLATION,RITUALISM,city
2018-04-22,150,36,40,23,95,52,149,35,18,6,24,24,1,32,3,1,3,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-04-23,174,54,58,26,75,64,121,25,22,3,18,21,0,34,2,3,0,0,0,8,5,0,0,0,0,1,0,2,0,0,0,0,0,0,Chicago
2018-04-24,186,42,50,26,79,55,130,27,10,10,22,15,1,33,4,4,0,0,4,7,1,3,0,0,0,0,0,4,0,0,0,0,0,0,Chicago
2018-04-25,186,48,52,31,66,67,128,39,8,2,26,25,3,36,6,2,0,1,8,5,3,1,2,2,0,0,0,3,0,0,0,0,0,0,Chicago
2018-04-26,203,75,61,17,72,63,102,32,15,8,26,15,1,21,6,3,0,1,6,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,Chicago
2018-04-27,182,56,51,24,74,69,129,56,18,7,19,19,0,36,7,5,1,0,7,5,4,1,0,0,0,0,1,2,0,0,0,0,0,0,Chicago
2018-04-28,180,45,51,26,63,52,119,37,10,4,25,13,0,35,4,1,1,1,2,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,Chicago
2018-04-29,163,37,46,21,80,55,156,42,19,6,28,20,0,26,6,8,1,0,0,4,3,1,0,0,1,1,0,1,0,0,0,0,0,0,Chicago
2018-04-30,172,66,64,25,87,64,142,31,16,9,22,21,1,43,2,6,2,1,1,7,5,0,0,1,0,2,0,1,0,0,0,0,0,0,Chicago
2018-05-01,229,136,83,28,99,75,193,31,11,16,27,19,1,31,5,7,0,2,0,7,10,0,1,1,0,0,1,1,0,0,0,0,0,0,Chicago
2018-05-02,193,70,44,23,62,73,150,45,13,4,28,24,0,26,4,4,1,0,6,6,7,0,1,2,0,0,0,3,0,0,0,0,0,0,Chicago
2018-05-03,165,66,49,24,81,68,147,36,12,9,18,16,3,26,1,3,1,0,5,4,5,0,0,1,0,0,0,2,0,0,0,0,0,0,Chicago
2018-05-04,176,52,36,25,79,73,172,57,25,8,26,30,2,28,9,7,1,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,Chicago
2018-05-05,207,54,46,26,96,62,211,36,21,7,28,10,0,28,2,5,1,0,0,4,3,2,1,2,0,1,0,0,0,0,0,0,0,0,Chicago
2018-05-06,147,28,41,28,93,60,186,24,19,11,24,10,3,18,3,7,0,0,1,3,4,1,1,0,0,0,0,4,0,0,0,0,0,0,Chicago
2018-05-07,198,58,54,27,74,66,150,44,18,10,28,27,0,30,3,1,0,0,2,2,4,0,3,0,2,0,1,2,0,0,1,0,0,0,Chicago
2018-05-08,179,55,61,20,80,65,152,34,21,6,31,25,2,32,3,5,1,2,8,10,7,0,0,0,0,1,0,4,0,0,1,0,0,0,Chicago
2018-05-09,192,53,50,22,80,63,157,26,20,4,27,26,1,42,2,1,2,1,7,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-05-10,200,70,50,23,71,61,139,36,19,6,23,16,0,34,7,1,1,0,6,5,5,1,1,0,1,1,1,1,0,0,0,0,0,0,Chicago
2018-05-11,166,54,41,28,86,54,133,41,15,8,18,19,0,40,5,3,0,0,8,2,2,1,0,0,0,1,0,4,0,0,0,0,0,0,Chicago
2018-05-12,172,40,50,20,94,51,130,34,11,4,18,15,4,30,5,4,1,1,4,1,2,2,0,0,3,2,0,2,0,0,0,0,0,0,Chicago
2018-05-13,145,21,42,31,100,49,161,32,10,8,27,18,0,22,5,5,3,0,3,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,Chicago
2018-05-14,186,56,55,32,107,74,123,33,5,8,23,25,0,35,4,5,0,0,0,5,4,2,1,0,0,1,0,3,1,0,0,0,0,0,Chicago
2018-05-15,184,60,56,32,75,69,136,25,15,6,28,13,1,28,0,6,0,0,0,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-05-16,174,48,41,26,78,67,170,39,22,2,18,22,2,33,5,2,1,0,0,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-05-17,202,52,51,28,90,75,139,29,11,8,30,14,0,34,4,10,1,0,1,7,6,0,0,0,0,2,0,3,0,0,0,0,0,0,Chicago
2018-05-18,184,73,64,32,63,61,138,47,13,7,28,24,2,34,1,2,1,0,5,8,9,2,0,0,0,0,0,3,0,0,0,0,0,0,Chicago
2018-05-19,187,39,41,27,79,47,166,53,13,8,27,19,0,35,5,4,0,1,0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-05-20,168,46,58,36,82,61,169,35,19,3,19,19,0,35,1,4,1,1,0,2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,Chicago
2018-05-21,179,51,51,24,74,58,116,50,14,6,29,21,0,30,2,4,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,Chicago
2018-05-22,184,69,54,15,80,85,140,39,13,7,25,15,2,40,2,6,2,0,5,6,2,0,0,2,0,1,1,1,1,0,0,0,0,0,Chicago
2018-05-23,181,54,61,33,83,75,141,37,23,2,25,18,1,22,4,2,0,0,6,2,4,0,0,0,2,4,0,1,0,0,0,0,0,0,Chicago
2018-05-24,185,53,60,20,88,64,150,50,28,6,33,21,0,36,2,8,1,0,5,2,5,1,0,1,0,1,0,0,0,0,0,0,0,0,Chicago
2018-05-25,184,65,59,22,98,71,165,26,16,6,21,23,2,23,5,3,0,1,3,1,4,2,0,0,0,2,0,3,0,0,0,0,0,0,Chicago
