date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-02-10,15,16,4,10,8,3,0,1,1,15,14,2,1,0,2,11,5,8,14,26,9,2,9,1,6,0,4,0,2,2,1,0,1,0,0,4,11,0,2,16,1,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,Boston
2018-02-11,13,15,0,5,3,7,0,1,0,15,8,3,1,1,5,15,1,6,17,27,6,0,9,1,5,0,4,0,0,0,0,1,1,0,1,6,6,0,3,11,1,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-02-12,16,14,0,15,8,0,1,3,1,9,25,2,3,2,0,10,0,8,24,30,6,0,8,0,5,0,5,0,1,6,0,0,1,0,1,3,15,0,0,9,5,2,0,0,23,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-13,13,18,1,13,4,2,5,1,1,11,11,2,2,1,3,6,6,8,19,29,7,2,9,1,4,0,9,0,2,5,0,1,1,0,0,7,6,1,0,7,2,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-14,17,21,4,9,1,0,0,2,1,13,21,3,2,0,10,12,5,9,23,23,8,0,10,0,4,1,8,0,3,6,0,4,1,0,1,4,8,0,0,8,2,3,0,0,9,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-15,19,16,7,15,6,1,1,6,0,9,20,3,5,0,5,21,5,9,19,27,6,1,8,0,5,1,8,0,2,3,0,1,0,0,1,8,9,0,13,13,2,0,0,1,21,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-16,22,21,3,13,10,5,0,1,1,15,22,5,3,0,5,12,2,5,11,23,2,0,7,0,6,0,4,0,2,3,0,2,1,0,0,4,11,0,1,11,1,2,2,1,19,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-17,10,17,1,9,5,2,2,4,0,12,15,1,1,0,5,11,3,11,30,29,9,0,15,0,1,0,5,0,1,6,2,0,1,0,0,3,13,0,0,12,0,1,0,0,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-18,7,15,1,3,2,4,0,1,1,6,10,2,2,0,1,8,1,8,19,28,9,0,8,0,5,0,5,0,0,4,0,0,1,1,3,3,8,1,1,12,1,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-02-19,11,22,2,7,4,0,1,2,0,7,13,1,5,0,5,10,1,6,19,30,4,0,11,1,4,0,7,0,2,7,1,2,0,0,0,2,4,1,2,9,1,1,0,0,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
